"Moleskine ID cannot contain space and special characters, allowed special characters are @,#,_,-","Moleskine ID cannot contain space and special characters, allowed special characters are @,#,_,-"
"Tax/VAT Number cannot contain space and special characters","Tax/VAT Number cannot contain space and special characters"
"Invalid Background Color","Invalid Background Color"
"Marketplace Vendor Login","Marketplace Vendor Login"
"Marketplace Notifications","Marketplace Notifications"
"Marketplace Review","Marketplace Review"
"The URL Rewrite has been saved.","The URL Rewrite has been saved."
"Minimum order amount information was successfully saved","Minimum order amount information was successfully saved"
"Payment information was successfully saved","Payment information was successfully saved"
"Manage Commission","Manage Commission"
"Manage Feedback","Manage Feedback"
"A total of %1 record(s) has been approved.","A total of %1 record(s) has been approved."
"A total of %1 record(s) has been disapproved.","A total of %1 record(s) has been disapproved."
"Manage Seller's Order","Manage Seller's Order"
"A total of %1 record(s) have been approved.","A total of %1 record(s) have been approved."
"Payment has been successfully done for this seller","Payment has been successfully done for this seller"
"We can't pay the seller right now. %1","We can't pay the seller right now. %1"
"Product has been Denied.","Product has been Denied."
"Manage Seller's Product","Manage Seller's Product"
"A total of %1 record(s) have been disapproved.","A total of %1 record(s) have been disapproved."
"You deleted the Product flag reason.","You deleted the Product flag reason."
"We can't find a Product flag reason to delete.","We can't find a Product flag reason to delete."
"This ProductFlag Reason no longer exists.","This ProductFlag Reason no longer exists."
"Edit Reason","Edit Reason"
"New Reason","New Reason"
Reason,Reason
"Product Flag Reason","Product Flag Reason"
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"A total of %1 record(s) have been updated.","A total of %1 record(s) have been updated."
"This flag reason no longer exists.","This flag reason no longer exists."
"You saved the product flag reason.","You saved the product flag reason."
"Seller has been Denied.","Seller has been Denied."
"Manage Sellers","Manage Sellers"
"A total of %1 record(s) have been approved as seller.","A total of %1 record(s) have been approved as seller."
"A total of %1 record(s) status have been changed to processing.","A total of %1 record(s) status have been changed to processing."
"A total of %1 record(s) status cannot be changed from approved to processing.","A total of %1 record(s) status cannot be changed from approved to processing."
"You deleted the seller flag reason.","You deleted the seller flag reason."
"We can't find a seller flag reason to delete.","We can't find a seller flag reason to delete."
"This SellerFlag Reason no longer exists.","This SellerFlag Reason no longer exists."
"Seller Flag Reason","Seller Flag Reason"
"This flag no longer exists.","This flag no longer exists."
"You saved the seller flag reason.","You saved the seller flag reason."
"Sellers Transaction","Sellers Transaction"
"This order no longer exists.","This order no longer exists."
"You are not authorize to manage this order.","You are not authorize to manage this order."
"The invoice no longer exists.","The invoice no longer exists."
"You are not authorize to view this invoice.","You are not authorize to view this invoice."
"The shipment no longer exists.","The shipment no longer exists."
"You are not authorize to view this shipment.","You are not authorize to view this shipment."
"The creditmemo no longer exists.","The creditmemo no longer exists."
"You are not authorize to view this creditmemo.","You are not authorize to view this creditmemo."
"The order has been cancelled.","The order has been cancelled."
"You are not permitted to cancel this order.","You are not permitted to cancel this order."
"We can't send the email order right now.","We can't send the email order right now."
"The credit memo's total must be positive.","The credit memo's total must be positive."
"Cannot create online refund for Refund to Store Credit.","Cannot create online refund for Refund to Store Credit."
"You created the credit memo.","You created the credit memo."
"We can't save the credit memo right now.","We can't save the credit memo right now."
"You can not create credit memo for this order.","You can not create credit memo for this order."
"New Credit Memo for Order #%1","New Credit Memo for Order #%1"
"The message has been sent.","The message has been sent."
"Failed to send the creditmemo email.","Failed to send the creditmemo email."
"We can't print the creditmemo right now.","We can't print the creditmemo right now."
"Order #%1","Order #%1"
"Credit Memo - Order #%1","Credit Memo - Order #%1"
"You sent the order email.","You sent the order email."
"Marketplace Seller Orders","Marketplace Seller Orders"
"Can not create invoice as order is in HOLD state","Can not create invoice as order is in HOLD state"
"We can't save the invoice right now.","We can't save the invoice right now."
"You can't create an invoice without products.","You can't create an invoice without products."
"Invoice has been created for this order.","Invoice has been created for this order."
"Failed to send the invoice email.","Failed to send the invoice email."
"There are no printable documents related to selected date range.","There are no printable documents related to selected date range."
"We can't print the invoice right now.","We can't print the invoice right now."
"Information was successfully saved","Information was successfully saved"
"Order Details of Product : %1","Order Details of Product : %1"
"Can not create shipment as order is in HOLD state","Can not create shipment as order is in HOLD state"
"Cannot do shipment for the order separately from invoice.","Cannot do shipment for the order separately from invoice."
"Cannot do shipment for the order.","Cannot do shipment for the order."
"The shipment has been created.","The shipment has been created."
"The shipping label has been created.","The shipping label has been created."
"We can't save the shipment right now.","We can't save the shipment right now."
"Failed to send the Shipping email.","Failed to send the Shipping email."
"We can't print the shipment right now.","We can't print the shipment right now."
"Please specify a carrier.","Please specify a carrier."
"Please enter a tracking number.","Please enter a tracking number."
"We can't initialize shipment for adding tracking number.","We can't initialize shipment for adding tracking number."
"Cannot add tracking number.%1","Cannot add tracking number.%1"
"We can't load track with retrieving identifier right now.%1","We can't load track with retrieving identifier right now.%1"
"We can't delete tracking number.","We can't delete tracking number."
"Manage Print PDF Header Info","Manage Print PDF Header Info"
"There are no printable documents related to selected order(s).","There are no printable documents related to selected order(s)."
"Notification marked as read.","Notification marked as read."
"Something went wrong.","Something went wrong."
"Product Type Or Attribute Set Invalid or Not Allowed","Product Type Or Attribute Set Invalid or Not Allowed"
"Add Product","Add Product"
"Create Attribute","Create Attribute"
"Attribute Code already exists","Attribute Code already exists"
"Attribute code ""%1"" is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Attribute code ""%1"" is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter."
"Attribute Created Successfully","Attribute Created Successfully"
"Add New Product","Add New Product"
"Please select attribute set and product type.","Please select attribute set and product type."
"Something went wrong while getting the requested content.","Something went wrong while getting the requested content."
"This product no longer exists.","This product no longer exists."
"Edit Product","Edit Product"
"Could not get preview image information. Please check your connection and try again.","Could not get preview image information. Please check your connection and try again."
"Products are successfully deleted from your account.","Products are successfully deleted from your account."
"Marketplace Product List","Marketplace Product List"
"Your product has been successfully saved","Your product has been successfully saved"
"Name has to be completed","Name has to be completed"
"Description has to be completed","Description has to be completed"
"Price should contain only decimal numbers","Price should contain only decimal numbers"
"Weight should contain only decimal numbers","Weight should contain only decimal numbers"
"Product quantity should contain only decimal numbers","Product quantity should contain only decimal numbers"
"Sku Type has to be selected","Sku Type has to be selected"
"Sku has to be completed","Sku has to be completed"
"Price Type has to be selected","Price Type has to be selected"
"Weight Type has to be selected","Weight Type has to be selected"
"Default Title has to be completed","Default Title has to be completed"
"Allowed Product Cart Limit Qty should contain only decimal numbers","Allowed Product Cart Limit Qty should contain only decimal numbers"
"Product Type Invalid Or Not Allowed","Product Type Invalid Or Not Allowed"
"You are not allowed to add virtual products, so please set product weight.","You are not allowed to add virtual products, so please set product weight."
"You duplicated the product.","You duplicated the product."
"I would like to inform you that recently I have added a new product in the store.","I would like to inform you that recently I have added a new product in the store."
"I would like to inform you that recently I have updated a  product in the store.","I would like to inform you that recently I have updated a  product in the store."
"The image cannot be removed as it has been assigned to the other image role","The image cannot be removed as it has been assigned to the other image role"
"Your Review was successfully saved","Your Review was successfully saved"
"Marketplace Seller List","Marketplace Seller List"
None,None
"Marketplace Seller Transactions","Marketplace Seller Transactions"
"Marketplace Seller Transaction View","Marketplace Seller Transaction View"
"Your withdrawal request has been sent successfully.","Your withdrawal request has been sent successfully."
Simple,Simple
Downloadable,Downloadable
Virtual,Virtual
Configurable,Configurable
"Grouped Product","Grouped Product"
"Bundle Product","Bundle Product"
"Please Select","Please Select"
"%1 days ago","%1 days ago"
"%1 hours ago","%1 hours ago"
"%1 minutes ago","%1 minutes ago"
"%1 seconds ago","%1 seconds ago"
"%1 is approved.","%1 is approved."
"%1 is disapproved.","%1 is disapproved."
"You have recieved payment for #%1 order. Mode of payment is %2.","You have recieved payment for #%1 order. Mode of payment is %2."
"%1 gives %2 star rating.","%1 gives %2 star rating."
"Seller has been paid online","Seller has been paid online"
Ordered,Ordered
Invoiced,Invoiced
Shipped,Shipped
Canceled,Canceled
Refunded,Refunded
"Notified customer about invoice #%1.","Notified customer about invoice #%1."
"The captured amount is %1.","The captured amount is %1."
"Bad controller interface for showing product","Bad controller interface for showing product"
"Product is not loaded","Product is not loaded"
"Type 1","Type 1"
"Type 2","Type 2"
Enabled,Enabled
Disabled,Disabled
"Layout 1","Layout 1"
"Layout 2","Layout 2"
"Layout 3","Layout 3"
Default,Default
1:1,1:1
1:2,1:2
1:3,1:3
1:4,1:4
1:5,1:5
3:4,3:4
"Yes, Required","Yes, Required"
No,No
Static,Static
Dynamic,Dynamic
Approved,Approved
Disapproved,Disapproved
"1 Star","1 Star"
"2 Star","2 Star"
"3 Star","3 Star"
"4 Star","4 Star"
"5 Star","5 Star"
Seller,Seller
Product,Product
Transaction,Transaction
Review,Review
"New product added by the seller","New product added by the seller"
". '</span>' '<span class=""wk-focus"">' . . '</span>'",". '</span>' '<span class=""wk-focus"">' . . '</span>'"
"Product details updated by seller","Product details updated by seller"
"New Customer registered as seller","New Customer registered as seller"
"New review submitted by buyer","New review submitted by buyer"
"Unable to remove notification data record with id %1","Unable to remove notification data record with id %1"
"Order # ","Order # "
"Order Date: ","Order Date: "
"Payment Method:","Payment Method:"
"Shipping Method:","Shipping Method:"
"Total Shipping Charges","Total Shipping Charges"
Title,Title
Number,Number
"Sold to:","Sold to:"
"Ship to:","Ship to:"
"Payment Method","Payment Method"
"Invoice # ","Invoice # "
Requested,Requested
"No Request","No Request"
Pending,Pending
Paid,Paid
Hold,Hold
Voided,Voided
"Credit Memo # ","Credit Memo # "
"Packing Slip # ","Packing Slip # "
Denied,Denied
"Could not save the Product Flag Reason: %1","Could not save the Product Flag Reason: %1"
"Product Flag Reason with id ""%1"" does not exist.","Product Flag Reason with id ""%1"" does not exist."
"Could not delete the ProductFlag Reason: %1","Could not delete the ProductFlag Reason: %1"
"Could not save the ProductFlag: %1","Could not save the ProductFlag: %1"
"ProductFlag with id ""%1"" does not exist.","ProductFlag with id ""%1"" does not exist."
"Could not delete the ProductFlag: %1","Could not delete the ProductFlag: %1"
Processing,Processing
"Could not save the sellerFlagReason: %1","Could not save the sellerFlagReason: %1"
"Seller Flag Reason with id ""%1"" does not exist.","Seller Flag Reason with id ""%1"" does not exist."
"Could not delete the SellerFlagReason: %1","Could not delete the SellerFlagReason: %1"
"Could not save the SellerFlag: %1","Could not save the SellerFlag: %1"
"SellerFlag with id ""%1"" does not exist.","SellerFlag with id ""%1"" does not exist."
"Could not delete the SellerFlag: %1","Could not delete the SellerFlag: %1"
"You removed the customer from seller.","You removed the customer from seller."
"This Shop URL already Exists.","This Shop URL already Exists."
"You created the customer as seller.","You created the customer as seller."
"Twitter Id cannot contain space and special characters","Twitter Id cannot contain space and special characters"
"Facebook Id cannot contain space and special characters","Facebook Id cannot contain space and special characters"
"The product with id %1 is already assigned to other seller.","The product with id %1 is already assigned to other seller."
"Products has been successfully assigned to seller.","Products has been successfully assigned to seller."
"Cash On Delivery Charges","Cash On Delivery Charges"
"Shipping & Handling Charges","Shipping & Handling Charges"
"Tax Amount","Tax Amount"
Grandtotal,Grandtotal
"The requested qty exceeds the maximum %1 qty allowed in shopping cart","The requested qty exceeds the maximum %1 qty allowed in shopping cart"
" & %1 product(s) is %2"," & %1 product(s) is %2"
"Minimum order amount for %1 product(s) is %2","Minimum order amount for %1 product(s) is %2"
"View Customer","View Customer"
"View Flags","View Flags"
"View Orders","View Orders"
Edit,Edit
Order,Order
"Pay Seller","Pay Seller"
"Item Pending","Item Pending"
"Item Cancelled","Item Cancelled"
"Item Refunded","Item Refunded"
"Already Paid","Already Paid"
"Add a Notify Message To Seller?","Add a Notify Message To Seller?"
Pay,Pay
Reset,Reset
Deny,Deny
"What is the reason to deny this product?","What is the reason to deny this product?"
View,View
--,--
"What is the reason to deny this seller?","What is the reason to deny this seller?"
Price,Price
"Product Seller","Product Seller"
"Select Seller","Select Seller"
"Product Flags","Product Flags"
"Assigned Product Ids","Assigned Product Ids"
"Product Category","Product Category"
CATEGORIES,CATEGORIES
"Total Sale","Total Sale"
"Total Seller Sale","Total Seller Sale"
"Total Admin Sale","Total Admin Sale"
"Current Commission %","Current Commission %"
"Shop name is available.","Shop name is available."
"Shop name is already exists.","Shop name is already exists."
"Payment Information not filled by the Seller yet.","Payment Information not filled by the Seller yet."
"Click here to view product(s) list","Click here to view product(s) list"
"Click here to view seller(s) list","Click here to view seller(s) list"
"Click here to view feedback(s) list","Click here to view feedback(s) list"
SKU,SKU
"By Seller","By Seller"
U,U
"Seller Payment Information","Seller Payment Information"
"Seller Name ","Seller Name "
"Seller Email ","Seller Email "
"Total Amount To Be Pay ","Total Amount To Be Pay "
"Add Comment","Add Comment"
"Seller Request Panel","Seller Request Panel"
"Waiting for approval from admin, your application current status is %1","Waiting for approval from admin, your application current status is %1"
"Your account is disapproved by the admin, please contact to admin!","Your account is disapproved by the admin, please contact to admin!"
Save,Save
"Shop URL","Shop URL"
"Please enter shop URL","Please enter shop URL"
"Do you want to become a seller / vendor ?","Do you want to become a seller / vendor ?"
"Congratulations! Shop name is available.","Congratulations! Shop name is available."
"Sorry! But this shop name is not available, please set another shop name.","Sorry! But this shop name is not available, please set another shop name."
"Top Selling Category","Top Selling Category"
"Ask Question to Admin","Ask Question to Admin"
"Sales By Locations","Sales By Locations"
Week,Week
"Sales Stats","Sales Stats"
"Lifetime Sales","Lifetime Sales"
" Total Payout "," Total Payout "
" Remaining Amount "," Remaining Amount "
"Top Selling Products","Top Selling Products"
"%1 Sales","%1 Sales"
"Latest Order","Latest Order"
"No Order Available","No Order Available"
"Customer: ","Customer: "
"Date: ","Date: "
"Order Total (Base)- ","Order Total (Base)- "
"Order Total (Purchased)- ","Order Total (Purchased)- "
"Latest Comments & Reviews","Latest Comments & Reviews"
"no comment & review available","no comment & review available"
Value,Value
Quality,Quality
Close,Close
Subject,Subject
"Your Query","Your Query"
Submit,Submit
"Seller Statistics Graph","Seller Statistics Graph"
Filter,Filter
"Show Report","Show Report"
Period:,Period:
From,From
To,To
"Edit Profile Information","Edit Profile Information"
"Save Profile","Save Profile"
"Google Plus ID","Google Plus ID"
"Allow to Display Google Plus Icon in Profile Page","Allow to Display Google Plus Icon in Profile Page"
"Enter Contact Number","Enter Contact Number"
"Enter Contact Number with country code ex: (123) 456-7890","Enter Contact Number with country code ex: (123) 456-7890"
"Enter Tax or VAT number","Enter Tax or VAT number"
"Theme : Background Color","Theme : Background Color"
"no image","no image"
Delete,Delete
"Delete Image","Delete Image"
"Seller Logo","Seller Logo"
Country,Country
"Enter Meta Keywords Comma(',') Separated..","Enter Meta Keywords Comma(',') Separated.."
"Manage Your Shop Url","Manage Your Shop Url"
"Set Your New Shop Url","Set Your New Shop Url"
"Save Url","Save Url"
"Edit Your Shop Url","Edit Your Shop Url"
"Profile Page Target Url Path","Profile Page Target Url Path"
"Profile Page Request Url Path","Profile Page Request Url Path"
"Collection Page Target Url Path","Collection Page Target Url Path"
"Collection Page Request Url Path","Collection Page Request Url Path"
"Review Page Target Url Path","Review Page Target Url Path"
"Review Page Request Url Path","Review Page Request Url Path"
"Location Page Target Url Path","Location Page Target Url Path"
"Location Page Request Url Path","Location Page Request Url Path"
"Privacy Policy Page Request Url Path","Privacy Policy Page Request Url Path"
"Edit Payment Information","Edit Payment Information"
"Save Payment","Save Payment"
"Payment Details","Payment Details"
"Set Minimum Order Amount","Set Minimum Order Amount"
"Minimum Amount","Minimum Amount"
"View Profile","View Profile"
"View Collection","View Collection"
"Top Selling Country","Top Selling Country"
"* Required Fields","* Required Fields"
"If you have an account, sign in with your email address.","If you have an account, sign in with your email address."
Password,Password
"Sign in","Sign in"
"Forgot Your Password?","Forgot Your Password?"
"Don't have account? Click here to register","Don't have account? Click here to register"
Marketplace,Marketplace
"Marketplace Dashboard","Marketplace Dashboard"
"Seller Profile","Seller Profile"
"New Products","New Products"
"My Products List","My Products List"
"Click here to view product list","Click here to view product list"
"My Transaction List","My Transaction List"
"Click here to view transaction history","Click here to view transaction history"
"My Order History","My Order History"
"Click here to view order history","Click here to view order history"
Customers,Customers
"Review Notification","Review Notification"
"Click here to view all reviews","Click here to view all reviews"
"Sold By","Sold By"
"Visit Shop","Visit Shop"
"SELLER'S COLLECTION","SELLER'S COLLECTION"
"We can't find products matching the selection.","We can't find products matching the selection."
"Add to Cart","Add to Cart"
"In stock","In stock"
"Out of stock","Out of stock"
"Add to Wish List","Add to Wish List"
"Add to Compare","Add to Compare"
"Learn More","Learn More"
"Do You Want To Become A Seller / Vendor?","Do You Want To Become A Seller / Vendor?"
"Agree as Seller","Agree as Seller"
Yes,Yes
"Disagree as Seller","Disagree as Seller"
"View Seller's Shop","View Seller's Shop"
"%1 Products","%1 Products"
"View Seller's Collection","View Seller's Collection"
"View All","View All"
"Total Payout","Total Payout"
Yearly,Yearly
Monthly,Monthly
Weekly,Weekly
Daily,Daily
Activities,Activities
"Price Rating","Price Rating"
"Value Rating","Value Rating"
"Quality Rating","Quality Rating"
"Latest Orders","Latest Orders"
"View All Orders","View All Orders"
"No comment & review available","No comment & review available"
"Price Reviews","Price Reviews"
"Quality Reviews","Quality Reviews"
"Value Reviews","Value Reviews"
Order(s),Order(s)
Complete,Complete
Product(s),Product(s)
Customer(s),Customer(s)
"This month customer count","This month customer count"
"Last month customer count","Last month customer count"
Dashboard,Dashboard
Orders,Orders
Products,Products
Menu,Menu
"Add Products","Add Products"
"Configurable Attribute","Configurable Attribute"
Transactions,Transactions
"Payment Settings","Payment Settings"
Settings,Settings
"Profile Settings","Profile Settings"
"Shipping Settings","Shipping Settings"
"Seller Panel","Seller Panel"
"My Account","My Account"
"Account Setting","Account Setting"
"Buyer Dashboard","Buyer Dashboard"
Logout,Logout
"View Larger Map","View Larger Map"
"Huge Buyers","Huge Buyers"
"Get your product showcased to a huge range of customers, as everyday many user shops from us.","Get your product showcased to a huge range of customers, as everyday many user shops from us."
"Quick Payments","Quick Payments"
"Once goods have been successfully delivered to respective customers, you can request for payout.","Once goods have been successfully delivered to respective customers, you can request for payout."
"Earn Badges","Earn Badges"
"Once you climb a milestone you get awarded with a badge, which make you look like more pro.","Once you climb a milestone you get awarded with a badge, which make you look like more pro."
"Customize Profile","Customize Profile"
"Customize your profile with information like profile logo, shop location, shipping and refund policies.","Customize your profile with information like profile logo, shop location, shipping and refund policies."
"Add Media","Add Media"
"Embed video YouTube to make your account more genuine and stand out in the queue.","Embed video YouTube to make your account more genuine and stand out in the queue."
"Got Stuck? Ask Questions","Got Stuck? Ask Questions"
"If you ever get stuck, let us know and we will help you with the best we have in minimum possible time.","If you ever get stuck, let us know and we will help you with the best we have in minimum possible time."
"Manage Your Orders","Manage Your Orders"
"Manage your orders at maximum ease and help customers to have a better shopping experience.","Manage your orders at maximum ease and help customers to have a better shopping experience."
"Get Yourself Verified","Get Yourself Verified"
"Add a verified brooch to your profile by providing very necessary some business details and documents.","Add a verified brooch to your profile by providing very necessary some business details and documents."
"Create Your Own Collection","Create Your Own Collection"
"Add various products and create your own product collection that will be visible to customers.","Add various products and create your own product collection that will be visible to customers."
"Add Unlimited Products","Add Unlimited Products"
"Add unlimited products which you want and fulfill your customers need.","Add unlimited products which you want and fulfill your customers need."
"Really Easy To Setup And Customize","Really Easy To Setup And Customize"
"Create an Account","Create an Account"
"Create your Profile","Create your Profile"
"Add your Details","Add your Details"
"Add your Product Listing","Add your Product Listing"
"Sell your Products and Earn Points","Sell your Products and Earn Points"
"Register As Seller","Register As Seller"
"Open your own online shop & explore a new world of marketplace with more and millions of shoppers","Open your own online shop & explore a new world of marketplace with more and millions of shoppers"
"Open Your Shop","Open Your Shop"
"Ask Questions","Ask Questions"
"Shop URL For Your Marketplace Shop","Shop URL For Your Marketplace Shop"
"Yes, I agree to ","Yes, I agree to "
"Terms and Conditions","Terms and Conditions"
"Already have account! click here to login","Already have account! click here to login"
"Items Refunded","Items Refunded"
Qty,Qty
"COD Charges","COD Charges"
"Discount Amount","Discount Amount"
"Row Total","Row Total"
"Excl. Tax","Excl. Tax"
"Tax Total","Tax Total"
"Discount Total","Discount Total"
"Creditmemo List","Creditmemo List"
"Credit Memos #","Credit Memos #"
"Bill To Name","Bill To Name"
"Created At","Created At"
Status,Status
Amount,Amount
Action,Action
"To Become Seller Please Contact to Admin.","To Become Seller Please Contact to Admin."
"<span class=""label"">Order Date:</span> %1","<span class=""label"">Order Date:</span> %1"
"Buyer Information","Buyer Information"
"Customer Name","Customer Name"
"Order Information","Order Information"
"Shipping Address","Shipping Address"
"Shipping Method","Shipping Method"
"No shipping information available","No shipping information available"
"Billing Address","Billing Address"
"ITEMS TO REFUND","ITEMS TO REFUND"
"Back To My Orders","Back To My Orders"
"Return to Stock","Return to Stock"
"Qty to Refund","Qty to Refund"
"Items to Refund","Items to Refund"
"Paid Amount","Paid Amount"
"Refund Amount","Refund Amount"
"Shipping Amount","Shipping Amount"
"Shipping Refund","Shipping Refund"
"Order Grand Total","Order Grand Total"
"Credit Memo Comments","Credit Memo Comments"
"Refund Totals","Refund Totals"
"Refund Shipping","Refund Shipping"
"Append Comments","Append Comments"
"Visible on Frontend","Visible on Frontend"
"Email Copy of Credit Memo","Email Copy of Credit Memo"
"Refund Offline","Refund Offline"
"Refund Online","Refund Online"
Refund,Refund
"Creditmemo #%1","Creditmemo #%1"
"Are you sure you want to send credit memo email to customer?","Are you sure you want to send credit memo email to customer?"
"Send Email To Customer","Send Email To Customer"
"Send Email","Send Email"
Print,Print
"Order # %1","Order # %1"
"Order Status","Order Status"
"Order Date","Order Date"
"Address Information","Address Information"
"Payment & Shipping Method","Payment & Shipping Method"
"Shipping and Tracking Information","Shipping and Tracking Information"
"Download All Shipping Slip","Download All Shipping Slip"
"Download All Invoice Slip","Download All Invoice Slip"
"Order Id","Order Id"
Date,Date
"Search by Order Id","Search by Order Id"
"Date From","Date From"
"Date To","Date To"
All,All
label,label
"Download Invoice Slip","Download Invoice Slip"
"Date Untill","Date Untill"
"Download Packaging Slip","Download Packaging Slip"
